optimizer,hyperparameters,criterion,crt_parameter,top-1 test acc,overfitting indicator,l1,l5,l1/l5,fwp_overhead,bwp_overhead,images/s,runtime,max_allocated_memory,max_reserved_memory,epochs,exclusive_run
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMsharp,z=1.5,96.37,0.073,24.9118,43.8858,0.5677,1.0281,1.0281,2673.53,68.47,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMsharp,z=1.15,96.51,0.0455,22.4234,41.1233,0.5453,1.2049,1.2049,2557.31,74.57,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.2;,gSAMsharp,z=1.2,96.44,0.0435,24.4318,42.5798,0.5738,1.1496,1.1496,2527.5,74.83,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.15;,gSAMsharp,z=1.15,96.6,0.0406,24.4313,39.2335,0.6227,1.2579,1.2579,2478.06,77.52,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMsharp,z=1.15,96.4,0.0435,24.3214,42.2722,0.5754,1.2094,1.2094,2539.3,77.22,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.1;,gSAMsharp,z=1.1,96.46,0.0391,22.2782,38.3881,0.5803,1.2829,1.2829,2467.78,77.9,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.2;,gSAMsharp,z=1.2,96.52,0.0463,21.0268,41.1039,0.5116,1.1463,1.1463,2683.84,70.34,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.1;,gSAMsharp,z=1.1,96.52,0.039,23.2478,40.269,0.5773,1.3269,1.3269,2461.15,78.43,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.2;,gSAMsharp,z=1.2,96.33,0.0542,23.892,40.4225,0.5911,1.1423,1.1423,2622.85,71.97,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.1;,gSAMsharp,z=1.1,96.65,0.0407,22.3921,39.2671,0.5703,1.2906,1.2906,2498.22,77.08,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.2;,gSAMsharp,z=1.2,96.48,0.039,23.3614,42.0289,0.5558,1.2026,1.2026,2535.22,75.08,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.1;,gSAMsharp,z=1.1,96.6,0.0315,22.595,39.5416,0.5714,1.3293,1.3293,2438.54,79.22,,,200,False
