optimizer,hyperparameters,criterion,crt_parameter,top-1 test acc,overfitting indicator,l1,l5,l1/l5,fwp_overhead,bwp_overhead,images/s,runtime,max_allocated_memory,max_reserved_memory,epochs,exclusive_run
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.5,84.16,0.4446,,,,1.5016,1.5016,4043.17,558.87,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.05,83.1,0.6182,,,,1.0505,1.0505,7140.44,397.37,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.1,83.41,0.5893,,,,1.1002,1.1002,5892.46,414.28,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.33,84.07,0.4845,,,,1.3295,1.3295,4506.0,500.29,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.5,84.18,0.4397,,,,1.5016,1.5016,3516.71,550.63,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.2,83.62,0.5696,,,,1.2001,1.2001,5301.78,468.63,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.33,83.9,0.5322,,,,1.3286,1.3286,5192.62,498.55,,,200,False
vassore-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.5,84.26,0.4603,,,,1.498,1.498,4173.05,557.23,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.05,83.18,0.6123,,,,1.0505,1.0505,5138.12,403.35,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.01,82.95,0.64,,,,1.0103,1.0103,5254.84,395.99,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.5,84.18,0.4628,,,,1.498,1.498,3481.95,552.16,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.33,84.49,0.4914,,,,1.3286,1.3286,4228.94,495.75,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.2,83.73,0.5519,,,,1.2001,1.2001,4634.02,479.07,,,200,False
vassoremu-sgd,lr=0.05;rho=0.2;theta=0.4;,random,p=0.1,83.77,0.5737,,,,1.1002,1.1002,4814.49,600.24,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[160-200],84.24,0.2659,,,,1.2,1.2,5275.06,444.98,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[134-200],84.63,0.2629,,,,1.33,1.33,5042.56,483.08,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[134-200],84.25,0.2558,,,,1.33,1.33,4946.45,496.38,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[100-200],84.34,0.259,,,,1.5,1.5,3760.25,555.39,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[134-200],84.73,0.2652,,,,1.33,1.33,4775.98,489.69,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[160-200],84.55,0.2563,,,,1.2,1.2,6048.01,449.14,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[100-200],84.8,0.2563,,,,1.5,1.5,3537.93,572.38,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[180-200],83.83,0.2515,,,,1.1,1.1,7586.86,414.5,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[134-200],84.55,0.2677,,,,1.33,1.33,4694.47,512.54,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[180-200],83.47,0.2511,,,,1.1,1.1,6385.23,407.11,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[100-200],84.38,0.2664,,,,1.5,1.5,3883.44,601.47,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,baseline,,84.47,0.2622,,,,2.0,2.0,503.75,732.5,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[100-200],84.83,0.2558,,,,1.5,1.5,3642.5,575.61,,,200,False
sam-sgd,lr=0.05;rho=0.2;,baseline,,84.69,0.4555,,,,2.0,2.0,1188.12,741.84,,,200,False
sam-sgd,lr=0.05;rho=0.2;,baseline,,85.13,0.4585,,,,2.0,2.0,1187.0,741.48,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[160-200],84.39,0.2658,,,,1.2,1.2,5796.84,477.98,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.2;,baseline,,84.34,0.3291,,,,2.0,2.0,492.89,747.79,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.2;,baseline,,84.66,0.3265,,,,2.0,2.0,500.85,736.15,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,baseline,,84.8,0.2618,,,,2.0,2.0,495.63,743.74,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[180-200],83.66,0.2575,,,,1.1,1.1,7964.69,411.89,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[190-200],83.08,0.278,,,,1.05,1.05,8264.37,386.92,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[180-200],83.76,0.2544,,,,1.1,1.1,8040.21,410.76,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[190-200],83.14,0.2734,,,,1.05,1.05,8403.28,389.31,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[190-200],83.21,0.2801,,,,1.05,1.05,6750.25,386.78,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,baseline,,84.69,0.2847,,,,2.0,2.0,501.4,735.47,,,200,False
sam-sgd,lr=0.05;rho=0.2;,baseline,,85.15,0.4604,,,,2.0,2.0,1172.06,749.65,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.2;,baseline,,84.81,0.3367,,,,2.0,2.0,510.27,723.01,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.2;,baseline,,84.62,0.3338,,,,2.0,2.0,496.96,741.99,,,200,False
sam-sgd,lr=0.05;rho=0.2;,baseline,,85.04,0.4495,,,,2.0,2.0,1091.19,800.08,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,baseline,,84.74,0.2644,,,,2.0,2.0,463.83,794.4,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[160-200],83.94,0.2717,,,,1.2,1.2,5761.28,628.31,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[190-200],83.23,0.2619,,,,1.05,1.05,6652.22,413.43,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[198-200],82.9,0.3762,,,,1.01,1.01,6998.82,383.89,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[198-200],82.61,0.3768,,,,1.01,1.01,6818.26,383.02,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[198-200],82.68,0.3691,,,,1.01,1.01,6801.58,378.91,,,200,False
vasso-sgd,lr=0.05;rho=0.2;theta=0.4;,schedule,s=[198-200],82.32,0.3815,,,,1.01,1.01,7063.46,410.2,,,200,False
